63598179258 , 0
63598179259 , 0.062791
63598179260 , 0.125333
63598179261 , 0.187381
63598179262 , 0.24869
63598179263 , 0.309017
63598179264 , 0.368124
63598179265 , 0.425779
63598179266 , 0.481754
63598179267 , 0.535827
63598179268 , 0.587785
63598179270 , 0.637424
63598179271 , 0.684547
63598179272 , 0.728969
63598179273 , 0.770513
63598179274 , 0.809017
63598179275 , 0.844328
63598179276 , 0.876307
63598179277 , 0.904827
63598179278 , 0.929776
63598179279 , 0.951056
63598179280 , 0.968583
63598179281 , 0.982287
63598179282 , 0.992115
63598179283 , 0.998027
63598179284 , 1
63598179285 , 0.998027
63598179286 , 0.992115
63598179287 , 0.982287
63598179288 , 0.968583
63598179289 , 0.951057
63598179290 , 0.929777
63598179291 , 0.904827
63598179292 , 0.876307
63598179293 , 0.844328
63598179294 , 0.809017
63598179295 , 0.770514
63598179296 , 0.728969
63598179297 , 0.684547
63598179298 , 0.637424
63598179299 , 0.587786
63598179300 , 0.535827
63598179301 , 0.481754
63598179302 , 0.42578
